target,success,aim_time,final_error_x,final_error_y,timestamp,trace_file,yaw_rise_time,yaw_settling_time,yaw_overshoot_pct,pitch_rise_time,pitch_settling_time,pitch_overshoot_pct
left,True,2.403571367263794,-0.029689999999999994,-0.016670000000000018,1754637155.3832273,time_response_shot_1_left.csv,1.6025047302246094,2.0480058193206787,0.0,1.403191089630127,2.016829013824463,0.0
center,True,1.2732491493225098,0.018750000000000044,-0.029169999999999974,1754637158.940302,time_response_shot_2_center.csv,0.7392029762268066,1.0179057121276855,0.0,0.7994983196258545,1.0179057121276855,0.0
right,True,3.075307846069336,0.029689999999999994,-0.0013900000000000023,1754637164.1432505,time_response_shot_3_right.csv,2.0961897373199463,2.747779369354248,0.0,1.788374423980713,2.808243751525879,0.0
center,True,1.2730534076690674,0.018750000000000044,-0.029169999999999974,1754637167.9414673,time_response_shot_4_center.csv,0.7100427150726318,1.0032565593719482,0.0,0.8185298442840576,1.0335910320281982,0.0
left,True,2.3867642879486084,-0.029689999999999994,-0.015280000000000016,1754637172.561838,time_response_shot_5_left.csv,1.6193742752075195,2.0947282314300537,0.0,1.4642314910888672,1.9870600700378418,0.0
