t,shot,target,marker_x,marker_y,error_x,error_y,pid_yaw_out,pid_pitch_out,gimbal_yaw,gimbal_pitch,kp_yaw,ki_yaw,kd_yaw,kp_pitch,ki_pitch,kd_pitch
0.008536100387573242,4,center,0.52969,0.44028,0.029689999999999994,-0.059719999999999995,3.1439477281284325,6.323898899421692,0.0,-11.0,100.0,4.0,0.0,100.0,4.0,0.0
0.04876971244812012,4,center,0.52969,0.44028,0.029689999999999994,-0.059719999999999995,3.148725871896743,6.333509904670715,0.0,-11.0,100.0,4.0,0.0,100.0,4.0,0.0
0.08100724220275879,4,center,0.52969,0.44028,0.029689999999999994,-0.059719999999999995,3.152554400930404,6.341210805778503,0.1,-10.9,100.0,4.0,0.0,100.0,4.0,0.0
0.09777998924255371,4,center,0.52969,0.44028,0.029689999999999994,-0.059719999999999995,3.15454633236885,6.345217479591369,0.1,-10.8,100.0,4.0,0.0,100.0,4.0,0.0
0.13902688026428223,4,center,0.52969,0.44028,0.029689999999999994,-0.059719999999999995,3.1594448131465906,6.35507053691864,0.3,-10.5,100.0,4.0,0.0,100.0,4.0,0.0
0.1630263328552246,4,center,0.52969,0.44028,0.029689999999999994,-0.059719999999999995,3.1622949881362907,6.360803526153564,0.3,-10.4,100.0,4.0,0.0,100.0,4.0,0.0
0.20354557037353516,4,center,0.52969,0.44444,0.029689999999999994,-0.05556,3.1671070527839653,5.953808521499634,0.4,-10.1,100.0,4.0,0.0,100.0,4.0,0.0
0.22937989234924316,4,center,0.52969,0.44444,0.029689999999999994,-0.05556,3.1701751368618005,5.959549941215515,0.6,-9.8,100.0,4.0,0.0,100.0,4.0,0.0
0.27005791664123535,4,center,0.52656,0.45,0.026560000000000028,-0.04999999999999999,2.861496770162585,5.411685546073913,0.8,-9.5,100.0,4.0,0.0,100.0,4.0,0.0
0.31063079833984375,4,center,0.52656,0.45417,0.026560000000000028,-0.04582999999999998,2.8658072331142455,5.0021233667469005,0.9,-9.2,100.0,4.0,0.0,100.0,4.0,0.0
0.3431673049926758,4,center,0.52656,0.45417,0.026560000000000028,-0.04582999999999998,2.8692639115810423,5.008087959146498,0.9,-9.2,100.0,4.0,0.0,100.0,4.0,0.0
0.36230897903442383,4,center,0.52344,0.4625,0.023440000000000016,-0.03749999999999998,2.5590586349391953,4.17795921025276,1.0,-9.0,100.0,4.0,0.0,100.0,4.0,0.0
0.40271973609924316,4,center,0.52344,0.4625,0.023440000000000016,-0.03749999999999998,2.5628475475215926,4.1840208238124825,1.1,-8.8,100.0,4.0,0.0,100.0,4.0,0.0
0.43511295318603516,4,center,0.52188,0.46806,0.02188000000000001,-0.031940000000000024,2.4096826018810282,3.632159381227496,1.2,-8.6,100.0,4.0,0.0,100.0,4.0,0.0
0.46832799911499023,4,center,0.52188,0.46806,0.02188000000000001,-0.031940000000000024,2.4125895827007304,3.6364029354953793,1.3,-8.5,100.0,4.0,0.0,100.0,4.0,0.0
0.5008053779602051,4,center,0.52031,0.475,0.02031000000000005,-0.025000000000000022,2.25822804495812,2.9456506733799004,1.3,-8.4,100.0,4.0,0.0,100.0,4.0,0.0
