target,success,aim_time,final_error_x,final_error_y,timestamp,trace_file,yaw_rise_time,yaw_settling_time,yaw_overshoot_pct,pitch_rise_time,pitch_settling_time,pitch_overshoot_pct
left,True,6.006998300552368,-0.029689999999999994,-0.016670000000000018,1754636919.3707438,time_response_shot_1_left.csv,4.493168115615845,5.529820442199707,0.0,4.089300155639648,5.529820442199707,0.0
center,True,2.978968620300293,0.018750000000000044,-0.029169999999999974,1754636924.6792822,time_response_shot_2_center.csv,2.1590089797973633,2.6611013412475586,0.0,2.0525221824645996,2.5287117958068848,0.0
right,True,7.370373249053955,0.029689999999999994,-0.0027800000000000047,1754636934.1411238,time_response_shot_3_right.csv,5.43997049331665,6.828563213348389,0.0,4.456748962402344,6.9344987869262695,0.0
center,True,2.8887274265289307,0.018750000000000044,-0.029169999999999974,1754636939.584672,time_response_shot_4_center.csv,1.8835735321044922,2.6133508682250977,0.0,2.018348455429077,2.4810492992401123,0.0
left,True,5.70075535774231,-0.029689999999999994,-0.019440000000000013,1754636947.4498892,time_response_shot_5_left.csv,4.283386707305908,5.279950141906738,0.0,3.629794120788574,4.912017345428467,0.0
